,^STOXX50E,ABI.BR,AD.AS,ADS.DE,ADYEN.AS,AI.PA,AIR.PA,ALV.DE,ASML.AS,BAS.DE,BAYN.DE,BBVA.MC,BMW.DE,BN.PA,BNP.PA,CS.PA,DB1.DE,DG.PA,DHL.DE,DTE.DE,EL.PA,ENEL.MI,ENI.MI,FLTR.L,IBE.MC,IFX.DE,INGA.AS,ISP.MI,ITX.MC,KER.PA,MBG.DE,MC.PA,MUV2.DE,NDA-FI.HE,NOKIA.HE,OR.PA,PRX.AS,RACE.MI,RI.PA,RMS.PA,SAF.PA,SAN.MC,SAN.PA,SAP.DE,SGO.PA,SIE.DE,STLAM.MI,SU.PA,TTE.PA,UCG.MI,VOW.DE
2022-01-21,4229.56005859375,55.0643196105957,25.199914932250977,242.01235961914062,1840.5999755859375,119.42198944091797,107.4173583984375,181.6808319091797,605.7422485351562,50.807823181152344,47.55029296875,4.404540061950684,73.137451171875,50.62404251098633,46.295982360839844,21.710437774658203,150.7485809326172,85.1094970703125,47.60682678222656,14.103532791137695,158.20529174804688,5.307187080383301,10.16170597076416,10965.0,8.876147270202637,35.20247268676758,10.048198699951172,1.9128278493881226,25.553321838378906,596.8458862304688,52.63089370727539,651.4859619140625,228.8658905029297,7.471482276916504,4.529287815093994,353.1066589355469,34.81917190551758,201.88629150390625,175.90631103515625,1328.5206298828125,107.20037841796875,2.6769001483917236,77.50044250488281,114.14009857177734,56.48160934448242,129.7130584716797,13.213232040405273,146.46832275390625,41.231441497802734,10.63024616241455,206.81594848632812
2022-01-24,4054.360107421875,53.50160598754883,24.650014877319336,232.49989318847656,1678.199951171875,115.97476959228516,101.67706298828125,177.50143432617188,563.1006469726562,49.333797454833984,46.05801010131836,4.2518768310546875,70.01480102539062,49.06610870361328,44.560997009277344,21.118656158447266,148.34030151367188,82.49474334716797,45.810340881347656,13.782639503479004,152.39105224609375,5.267669200897217,9.836060523986816,10545.0,8.723033905029297,33.03905487060547,9.644041061401367,1.8487422466278076,24.689414978027344,579.0868530273438,49.9748420715332,619.3414306640625,224.0101318359375,7.19649600982666,4.310462474822998,344.5023498535156,33.006717681884766,192.5018768310547,172.11618041992188,1274.46435546875,100.332763671875,2.555755853652954,75.4380874633789,109.24299621582031,51.700469970703125,123.35845947265625,12.236525535583496,139.0142059326172,39.8146858215332,10.362472534179688,194.85665893554688
2022-01-25,4078.260009765625,54.04145050048828,24.7799129486084,229.60269165039062,1664.4000244140625,117.03663635253906,102.62429809570312,180.32867431640625,553.9564208984375,50.15525817871094,46.8133659362793,4.302763938903809,70.47400665283203,49.01359176635742,46.01422882080078,21.41849136352539,144.21844482421875,82.73716735839844,46.05531692504883,13.993061065673828,151.71669006347656,5.268459796905518,10.1524019241333,10495.0,8.670538902282715,33.438968658447266,9.874765396118164,1.8656069040298462,24.880386352539062,575.4278564453125,50.35531997680664,623.2660522460938,228.26431274414062,7.427602767944336,4.440768718719482,347.7936096191406,31.74073028564453,194.98170471191406,170.02047729492188,1269.107421875,102.12682342529297,2.6256632804870605,76.91241455078125,109.82688903808594,51.72723388671875,124.32778930664062,12.100953102111816,139.2366943359375,40.80350875854492,10.627018928527832,197.72689819335938
2022-01-26,4164.60009765625,53.984619140625,24.450841903686523,234.86593627929688,1746.0,117.25208282470703,108.19409942626953,184.2212371826172,568.0097045898438,51.67534637451172,47.48581314086914,4.401408672332764,72.0736083984375,49.18864440917969,47.41556930541992,21.958984375,143.61639404296875,84.13978576660156,47.47072982788086,14.210495948791504,153.46641540527344,5.307187080383301,10.454788208007812,10610.0,8.749281883239746,34.590545654296875,10.1829195022583,1.9221971035003662,25.062259674072266,585.869140625,51.59188461303711,638.7775268554688,234.15138244628906,7.639695167541504,4.534679412841797,349.9094543457031,32.25988006591797,197.8991241455078,171.80404663085938,1279.8211669921875,105.36772155761719,2.722926139831543,78.35266876220703,111.01348876953125,52.58355712890625,126.76913452148438,12.685518264770508,140.6273956298828,42.43631362915039,11.010933876037598,205.38084411621094
2022-01-27,4184.97021484375,54.79912567138672,24.771251678466797,233.85191345214844,1749.199951171875,118.12928009033203,108.38355255126953,187.41725158691406,560.7904052734375,52.55054473876953,48.434608459472656,4.449165344238281,71.94349670410156,49.713783264160156,47.823368072509766,22.20358657836914,144.5426483154297,84.47745513916016,48.042335510253906,14.661150932312012,153.0836639404297,5.415465354919434,10.709101676940918,10765.0,8.919892311096191,34.980831146240234,10.247955322265625,1.9581750631332397,24.853107452392578,582.7456665039062,52.06017303466797,648.4957275390625,240.81198120117188,7.686501502990723,4.585004806518555,350.8027648925781,32.10504150390625,194.88441467285156,173.09715270996094,1258.8804931640625,104.19096374511719,2.7802419662475586,80.86669158935547,104.38357543945312,51.9056282043457,126.10492706298828,12.786105155944824,140.33071899414062,42.99304962158203,11.107718467712402,205.38084411621094
2022-01-28,4136.91015625,53.05646514892578,24.896821975708008,228.05752563476562,1726.800048828125,116.34410095214844,105.5039291381836,186.67971801757812,544.9081420898438,52.59661102294922,48.66489791870117,4.4186320304870605,70.71892547607422,48.322147369384766,46.54806900024414,22.03788948059082,143.2921905517578,83.74150085449219,47.57960510253906,14.629587173461914,151.27926635742188,5.336429595947266,10.52457046508789,10940.0,8.854272842407227,33.72806930541992,10.100846290588379,1.9465569257736206,24.580293655395508,578.1051635742188,51.123600006103516,669.427001953125,240.0384979248047,7.611902236938477,4.567930221557617,346.14801025390625,32.13236618041992,194.98170471191406,169.84210205078125,1261.802490234375,100.25560760498047,2.7324788570404053,80.3298110961914,101.8785171508789,51.83427429199219,124.1662368774414,12.440614700317383,136.8076171875,42.57757568359375,11.086749076843262,200.59713745117188
2022-01-31,4174.60009765625,52.7723388671875,24.901151657104492,233.948486328125,1789.0,116.48261260986328,106.20488739013672,186.31094360351562,571.9563598632812,51.83656692504883,49.59526824951172,4.410803318023682,71.13986206054688,48.3571662902832,46.7111930847168,22.057615280151367,145.60784912109375,83.6895523071289,48.07862854003906,14.617314338684082,152.0265350341797,5.359349727630615,10.318325996398926,11185.0,8.889269828796387,35.014556884765625,10.113236427307129,1.9634218215942383,24.31657600402832,585.690673828125,51.16749954223633,675.220458984375,239.8236083984375,7.680650234222412,4.715312480926514,354.376220703125,33.44389343261719,197.31561279296875,168.54901123046875,1284.2042236328125,102.8405990600586,2.687321424484253,79.04295349121094,103.96920013427734,53.20796203613281,125.54845428466797,12.369182586669922,138.47645568847656,41.730010986328125,11.28354549407959,202.67005920410156
2022-02-01,4224.4501953125,53.44477844238281,24.85352325439453,235.39707946777344,1822.199951171875,117.00584411621094,109.34973907470703,186.14703369140625,577.9241943359375,52.17436599731445,49.89004135131836,4.503183841705322,72.16545104980469,48.19086837768555,47.61575698852539,22.294326782226562,144.7742156982422,84.4861068725586,49.01316452026367,14.729536056518555,157.73141479492188,5.417046070098877,10.433079719543457,11315.0,8.933015823364258,35.062740325927734,10.316089630126953,2.0012736320495605,24.580293655395508,599.4338989257812,51.33579635620117,684.1909790039062,240.3392791748047,7.891279697418213,4.761144161224365,355.2695007324219,34.03134536743164,201.40003967285156,172.33914184570312,1308.5538330078125,107.0460433959961,2.748544692993164,78.05438995361328,106.4177474975586,54.32296371459961,126.4998550415039,12.641785621643066,141.48036193847656,42.62742614746094,11.493247032165527,207.61322021484375
2022-02-02,4222.0498046875,53.378482818603516,25.30816078186035,237.71484375,1776.199951171875,118.5140151977539,107.3226318359375,186.06509399414062,576.0953369140625,52.16668701171875,49.49394226074219,4.552506446838379,71.69857788085938,48.88230514526367,47.059669494628906,22.49553108215332,144.0795135498047,84.83243560791016,49.59384536743164,14.796170234680176,160.70230102539062,5.413093566894531,10.355544090270996,11215.0,8.876147270202637,35.269927978515625,10.461647033691406,2.0215115547180176,24.0164852142334,605.9484252929688,50.77970886230469,681.4811401367188,238.7923126220703,7.843009948730469,4.747663497924805,356.9621887207031,32.942962646484375,204.6092071533203,174.6132049560547,1314.8848876953125,105.96575164794922,2.757662773132324,78.64240264892578,105.57017517089844,54.30512237548828,126.12289428710938,12.737998962402344,142.92669677734375,41.754940032958984,11.8642578125,205.54026794433594
2022-02-03,4141.02001953125,51.58846664428711,24.974760055541992,233.948486328125,1619.0,116.1902084350586,105.75020599365234,184.75389099121094,552.3199462890625,51.80586624145508,48.78464889526367,4.458560466766357,71.75980377197266,48.22587585449219,47.18571853637695,22.294326782226562,142.968017578125,84.47745513916016,48.53228759765625,15.176684379577637,156.65603637695312,5.357769012451172,10.302821159362793,10620.0,8.663538932800293,33.53533935546875,10.235567092895508,2.0447468757629395,23.479955673217773,588.4571533203125,50.99189376831055,665.0350952148438,235.44053649902344,7.685039043426514,4.646114826202393,350.28558349609375,32.19612503051758,197.02389526367188,171.22439575195312,1272.0294189453125,103.61223602294922,2.864912748336792,77.79872131347656,102.74492645263672,54.260520935058594,122.8019790649414,12.663653373718262,138.36521911621094,41.306236267089844,12.138482093811035,202.98898315429688
